"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 30 11:45:19 CST 2025","Sat Aug 30 11:45:25 CST 2025","5790","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","停用企业用户",""
"passed","Sat Aug 30 11:45:50 CST 2025","Sat Aug 30 11:45:57 CST 2025","6362","testcase.user_mag","test_user_group","TestUserGroup","","","新增子用户群组",""
"passed","Sat Aug 30 11:45:27 CST 2025","Sat Aug 30 11:45:31 CST 2025","4567","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","启用企业用户",""
"passed","Sat Aug 30 11:45:19 CST 2025","Sat Aug 30 11:45:25 CST 2025","5396","testcase.cop_operate","test_func_main","TestFuncMain","","","删除职能",""
"passed","Sat Aug 30 11:46:23 CST 2025","Sat Aug 30 11:46:30 CST 2025","7367","testcase.user_mag","test_invite_user","TestUserManage","","","邀请用户",""
"passed","Sat Aug 30 11:46:27 CST 2025","Sat Aug 30 11:46:34 CST 2025","7597","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","修改人员核决层级",""
"passed","Sat Aug 30 11:46:14 CST 2025","Sat Aug 30 11:46:22 CST 2025","7959","testcase.cop_operate","test_operate_unit","TestOperateUnit","","","设置公司",""
"passed","Sat Aug 30 11:45:30 CST 2025","Sat Aug 30 11:45:36 CST 2025","6570","testcase.user_mag","test_role_manage","TestRoleManage","","","新增角色",""
"passed","Sat Aug 30 11:44:48 CST 2025","Sat Aug 30 11:44:59 CST 2025","11295","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","新增企业用户",""
"passed","Sat Aug 30 11:45:03 CST 2025","Sat Aug 30 11:45:09 CST 2025","6264","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","删除人员核决层级",""
"passed","Sat Aug 30 11:45:21 CST 2025","Sat Aug 30 11:45:28 CST 2025","6915","testcase.cop_operate","test_employee_manage","TestEmployeeManage","","","删除员工",""
"passed","Sat Aug 30 11:44:48 CST 2025","Sat Aug 30 11:44:54 CST 2025","6280","testcase.cop_operate","test_employee_manage","TestEmployeeManage","","","新增员工",""
"passed","Sat Aug 30 11:45:37 CST 2025","Sat Aug 30 11:45:46 CST 2025","8842","testcase.cop_operate","test_field_manage","TestFieldManage","","","修改场域",""
"passed","Sat Aug 30 11:46:35 CST 2025","Sat Aug 30 11:46:41 CST 2025","6161","testcase.user_mag","test_server_auth","TestServerAuth","","","代理授",""
"passed","Sat Aug 30 11:46:38 CST 2025","Sat Aug 30 11:46:49 CST 2025","10371","testcase.user_mag","test_invite_user","TestUserManage","","","发送邀请链接",""
"passed","Sat Aug 30 11:46:18 CST 2025","Sat Aug 30 11:46:24 CST 2025","5947","testcase.cop_operate","test_title_main","TestTitleMain","","","新增职称",""
"passed","Sat Aug 30 11:45:44 CST 2025","Sat Aug 30 11:45:50 CST 2025","6117","testcase.user_mag","test_role_manage","TestRoleManage","","","修改角色",""
"passed","Sat Aug 30 11:45:58 CST 2025","Sat Aug 30 11:46:04 CST 2025","5684","testcase.user_mag","test_user_group","TestUserGroup","","","修改用户群组",""
"passed","Sat Aug 30 11:45:11 CST 2025","Sat Aug 30 11:45:23 CST 2025","12333","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","新增子部门",""
"passed","Sat Aug 30 11:45:47 CST 2025","Sat Aug 30 11:45:54 CST 2025","7057","testcase.cop_operate","test_field_manage","TestFieldManage","","","删除场域",""
"passed","Sat Aug 30 11:45:41 CST 2025","Sat Aug 30 11:45:56 CST 2025","15311","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","新增部门成员",""
"passed","Sat Aug 30 11:45:56 CST 2025","Sat Aug 30 11:46:00 CST 2025","4738","testcase.cop_operate","test_field_manage","TestFieldManage","","","导入场域",""
"passed","Sat Aug 30 11:44:56 CST 2025","Sat Aug 30 11:45:01 CST 2025","5156","testcase.cop_operate","test_employee_manage","TestEmployeeManage","","","批量新增员工",""
"passed","Sat Aug 30 11:45:06 CST 2025","Sat Aug 30 11:45:12 CST 2025","5452","testcase.cop_operate","test_func_main","TestFuncMain","","","停用职能",""
"passed","Sat Aug 30 11:46:31 CST 2025","Sat Aug 30 11:46:36 CST 2025","4631","testcase","test_login","TestLogin","","","test_login[login_username_error]",""
"passed","Sat Aug 30 11:45:24 CST 2025","Sat Aug 30 11:45:32 CST 2025","7320","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","编辑子部门",""
"passed","Sat Aug 30 11:46:32 CST 2025","Sat Aug 30 11:46:37 CST 2025","4911","testcase.user_mag","test_invite_user","TestUserManage","","","批量邀请用户",""
"passed","Sat Aug 30 11:45:57 CST 2025","Sat Aug 30 11:46:06 CST 2025","9061","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","修改部门成员",""
"passed","Sat Aug 30 11:45:52 CST 2025","Sat Aug 30 11:45:56 CST 2025","4418","testcase.user_mag","test_role_manage","TestRoleManage","","","删除角色",""
"passed","Sat Aug 30 11:46:08 CST 2025","Sat Aug 30 11:46:15 CST 2025","7345","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","删除部门成员    ",""
"passed","Sat Aug 30 11:45:58 CST 2025","Sat Aug 30 11:46:05 CST 2025","7063","testcase.cop_operate","test_operate_unit","TestOperateUnit","","","新增公司",""
"passed","Sat Aug 30 11:46:12 CST 2025","Sat Aug 30 11:46:18 CST 2025","5538","testcase","test_login","TestLogin","","","test_login[login_success]",""
"passed","Sat Aug 30 11:45:01 CST 2025","Sat Aug 30 11:45:06 CST 2025","5021","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","批量新增企业用户",""
"passed","Sat Aug 30 11:44:58 CST 2025","Sat Aug 30 11:45:05 CST 2025","6717","testcase.cop_operate","test_func_main","TestFuncMain","","","修改职能",""
"passed","Sat Aug 30 11:46:02 CST 2025","Sat Aug 30 11:46:09 CST 2025","7065","testcase.cop_operate","test_title_main","TestTitleMain","","","新增职称",""
"passed","Sat Aug 30 11:46:26 CST 2025","Sat Aug 30 11:46:34 CST 2025","8280","testcase.user_mag","test_server_auth","TestServerAuth","","","产生服务授权码",""
"passed","Sat Aug 30 11:44:48 CST 2025","Sat Aug 30 11:45:01 CST 2025","13106","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","新增部门",""
"passed","Sat Aug 30 11:46:17 CST 2025","Sat Aug 30 11:46:25 CST 2025","8554","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","新增人员核决层级",""
"passed","Sat Aug 30 11:45:08 CST 2025","Sat Aug 30 11:45:10 CST 2025","2588","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","搜索企业用户",""
"passed","Sat Aug 30 11:46:06 CST 2025","Sat Aug 30 11:46:12 CST 2025","6024","testcase.cop_operate","test_operate_unit","TestOperateUnit","","","修改公司",""
"passed","Sat Aug 30 11:46:10 CST 2025","Sat Aug 30 11:46:17 CST 2025","6335","testcase.cop_operate","test_title_main","TestTitleMain","","","新增职称",""
"passed","Sat Aug 30 11:45:11 CST 2025","Sat Aug 30 11:45:15 CST 2025","3637","testcase.cop_operate","test_employee_manage","TestEmployeeManage","","","停用员工",""
"passed","Sat Aug 30 11:45:38 CST 2025","Sat Aug 30 11:45:43 CST 2025","4963","testcase.user_mag","test_role_manage","TestRoleManage","","","批量新增角色",""
"passed","Sat Aug 30 11:44:50 CST 2025","Sat Aug 30 11:44:56 CST 2025","6760","testcase.cop_operate","test_func_main","TestFuncMain","","","新增职能",""
"passed","Sat Aug 30 11:45:33 CST 2025","Sat Aug 30 11:45:39 CST 2025","6003","testcase.cop_operate","test_cop_organ","TestCopOrgan","","","删除子部门",""
"passed","Sat Aug 30 11:45:26 CST 2025","Sat Aug 30 11:45:36 CST 2025","9377","testcase.cop_operate","test_field_manage","TestFieldManage","","","新增场域",""
"passed","Sat Aug 30 11:45:33 CST 2025","Sat Aug 30 11:45:42 CST 2025","9346","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","删除企业用户",""
"passed","Sat Aug 30 11:46:22 CST 2025","Sat Aug 30 11:46:27 CST 2025","4743","testcase","test_login","TestLogin","","","test_login[login_password_error]",""
"passed","Sat Aug 30 11:45:12 CST 2025","Sat Aug 30 11:45:18 CST 2025","6129","testcase.user_mag","test_add_cop_user","TestAddCopUser","","","编辑企业用户",""
"passed","Sat Aug 30 11:45:13 CST 2025","Sat Aug 30 11:45:18 CST 2025","4623","testcase.cop_operate","test_func_main","TestFuncMain","","","启用职能",""
"passed","Sat Aug 30 11:46:05 CST 2025","Sat Aug 30 11:46:10 CST 2025","4441","testcase.user_mag","test_user_group","TestUserGroup","","","删除用户群组",""
"passed","Sat Aug 30 11:45:43 CST 2025","Sat Aug 30 11:45:49 CST 2025","5342","testcase.user_mag","test_user_group","TestUserGroup","","","新增用户群组",""
"passed","Sat Aug 30 11:45:16 CST 2025","Sat Aug 30 11:45:20 CST 2025","3698","testcase.cop_operate","test_employee_manage","TestEmployeeManage","","","启用员工",""
"passed","Sat Aug 30 11:45:03 CST 2025","Sat Aug 30 11:45:09 CST 2025","6931","testcase.cop_operate","test_employee_manage","TestEmployeeManage","","","修改员工",""
